24.07.2026                                                                                             Dynamic List Display                                                                                                    1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
24.07.2026                                                                                      Order Info System - Production List                                                                                          1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SchedStart|Sched.Fin.|Act. start|Act.finish|Order       |Material  |Material description                |Target qty|Conf. qty|Customer                           |Priority|System Status                           |UserStatus|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|13.07.2026|18.07.2026|14.07.2026|          |200234568675|EB0767-000|BCIC-3116/A                         |      168 |     148 |                                   |        |REL  PRT  CNF  PRC  BCRQ GMPS MACM MSCP*|          |
|23.09.2026|10.10.2026|          |          |200234602651|EB0767-000|BCIC-3116/A                         |      477 |       0 |                                   |        |CRTD PRC  BCRQ MACM MSCP SETC           |          |
|29.07.2026|29.07.2026|          |          |200234417868|EH1899-000|BCIC-3129-CR(B12)                   |      168 |       0 |Tyco Electronics Polska Sp z o.o.  |5       |CRTD MSPT PRC  BCRQ MSCP RELR SETC      |          |
|30.07.2026|30.07.2026|          |          |200234617268|EE6206-000|BMOD-HV-075-T11-00(B12)             |       48 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM RELR SETC      |          |
|28.08.2026|28.08.2026|          |          |200234647048|ER9422-000|LVIC-2343/A                         |      108 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|13.07.2026|18.07.2026|14.07.2026|          |200234414131|BM8245-000|BCIC-3129-CR                        |      168 |       0 |                                   |        |REL  PRT  PCNF PRC  BCRQ GMPS MACM MSCP*|          |
|06.08.2026|14.08.2026|          |          |200234617817|ER9399-000|LVIC-2321-01                        |      108 |       0 |                                   |        |CRTD PRC  BCRQ MACM MSCP SETC           |          |
|13.08.2026|21.08.2026|          |          |200234617845|ER9400-000|LVIC-2321-02                        |      108 |       0 |                                   |        |CRTD PRC  BCRQ MACM MSCP SETC           |          |
|31.07.2026|31.07.2026|          |          |200234651942|CS5711-000|LHOL-47-440                         |      588 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|04.08.2026|04.08.2026|          |          |200234662377|CS5711-000|LHOL-47-440                         |      588 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|04.08.2026|04.08.2026|          |          |200234662378|CS5711-000|LHOL-47-440                         |      588 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|05.08.2026|05.08.2026|          |          |200234662379|CS5711-000|LHOL-47-440                         |      588 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|28.07.2026|31.07.2026|          |          |200234642860|ES7593-000|CSJB-55/17-435/U-CN                 |      288 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*|COMP PREP |
