order_number,scheduling_pool,bench_work_centres,bench_operations,bench_remaining_minutes,bench_operation_count
200233267595,CSKI_MVKI,CSKI-1,0010,1034,1
200233267597,CSKI_MVKI,CSKI-1,0010,718,1
200233267600,CSKI_MVKI,CSKI-1,0010,1034,1
200233267603,CSKI_MVKI,CSKI-1,0010,718,1
200233271509,CSKI_MVKI,CSKI-1,0010,344,1
200233271510,CSKI_MVKI,CSKI-1,0010,344,1
200233314375,LVPA,LVPA-5,0010,79,1
200233314459,LVPA,LVPA-5,0010,120,1
200233359392,CSKI_MVKI,CSKI-1,0010,1088,1
200233359394,CSKI_MVKI,CSKI-1,0010,588,1
200233376337,CSKI_MVKI,MVKI-1,0010,114,1
200233376344,CSKI_MVKI,MVKI-1,0010,114,1
200233387277,CSKI_MVKI,CSKI-1,0010,488,1
200233387290,CSKI_MVKI,CSKI-1,0010,622,1
200233548301,CSKI_MVKI,CSKI-1,0010,355,1
200233570589,LVPA,LVPA-5,0010,600,1
200233570591,LVPA,LVPA-5,0010,600,1
200233571993,CSKI_MVKI,CSKI-1,0010,198,1
200233600285,CSKI_MVKI,CSKI-1,0010,164,1
200233600292,CSKI_MVKI,CSKI-1,0010,291,1
200233600294,CSKI_MVKI,CSKI-1,0010,109,1
200233600363,CSKI_MVKI,CSKI-1,0010,352,1
200233621851,LVPA,LVPA-2 / LVPA-5,0010 → 0020,28,2
200233622307,CSKI_MVKI,CSKI-1,0010,155,1
200233637765,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637766,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637769,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637770,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637775,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637825,LVPA,LVPA-2,0010 → 0020,53,2
200233637830,LVPA,LVPA-2,0010 → 0020,35,2
200233637831,LVPA,LVPA-2,0010 → 0020,35,2
200233637833,LVPA,LVPA-2,0010 → 0020,35,2
200233637834,LVPA,LVPA-2,0010 → 0020,35,2
200233637837,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637838,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637839,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637923,LVPA,LVPA-2,0010 → 0020,106,2
200233637925,LVPA,LVPA-2,0010 → 0020,106,2
200233637927,LVPA,LVPA-2,0010 → 0020,106,2
200233637928,LVPA,LVPA-2,0010 → 0020,106,2
200233637933,LVPA,LVPA-2,0010 → 0020,106,2
200233637935,LVPA,LVPA-2,0010 → 0020,106,2
200233637958,LVPA,LVPA-2,0010 → 0020,106,2
200233637959,LVPA,LVPA-2,0010 → 0020,106,2
200233637962,LVPA,LVPA-2,0010 → 0020,106,2
200233637963,LVPA,LVPA-2,0010 → 0020,106,2
200233637964,LVPA,LVPA-2,0010 → 0020,106,2
200233637965,LVPA,LVPA-2,0010 → 0020,106,2
200233637968,LVPA,LVPA-2,0010 → 0020,106,2
200233637969,LVPA,LVPA-2,0010 → 0020,106,2
200233637970,LVPA,LVPA-2,0010 → 0020,106,2
200233637972,LVPA,LVPA-2,0010 → 0020,106,2
200233638019,LVPA,LVPA-2,0010 → 0020,44,2
200233638022,LVPA,LVPA-2,0010 → 0020,44,2
200233638023,LVPA,LVPA-2,0010 → 0020,44,2
200233638025,LVPA,LVPA-2,0010 → 0020,44,2
200233638026,LVPA,LVPA-2,0010 → 0020,44,2
200233638028,LVPA,LVPA-2,0010 → 0020,44,2
200233638029,LVPA,LVPA-2,0010 → 0020,44,2
200233638030,LVPA,LVPA-2,0010 → 0020,44,2
200233650068,CSKI_MVKI,CSKI-1,0010,1034,1
200233702492,CSKI_MVKI,CSKI-1,0010,208,1
200233702496,CSKI_MVKI,CSKI-1,0010,236,1
200233785073,CSKI_MVKI,MVKI-1,0005,143,1
200233795808,CSKI_MVKI,MVKI-1,0005,59,1
200233812330,CSKI_MVKI,CSKI-1,0010,1012,1
200233878150,LVPA,LVPA-5,0010,724,1
200233878292,LVPA,LVPA-5,0010,724,1
200233880699,LVPA,LVPA-5,0010,1085,1
200233880703,LVPA,LVPA-5,0010,1085,1
200233898602,CSKI_MVKI,CSKI-1,0010,141,1
200233920353,LVPA,LVPA-5,0010 → 0030,383,2
200233920459,LVPA,LVPA-5,0010 → 0030,38,2
200233920463,LVPA,LVPA-5,0010 → 0030,160,2
200233920475,LVPA,LVPA-5,0010 → 0030,96,2
200233920702,LVPA,LVPA-5,0010 → 0030,128,2
200233920707,LVPA,LVPA-5,0010 → 0030,367,2
200233920715,LVPA,LVPA-5,0010 → 0020 → 0030,87,3
200233920744,LVPA,LVPA-5,0010 → 0030,120,2
200233931000,CSKI_MVKI,MVKI-1,0010,219,1
200233937064,CSKI_MVKI,CSKI-1,0010,112,1
200233937065,CSKI_MVKI,CSKI-1,0010,119,1
200233938901,CSKI_MVKI,CSKI-1,0010,408,1
200233938904,CSKI_MVKI,CSKI-1,0010,408,1
200233938906,CSKI_MVKI,CSKI-1,0010,406,1
200233939011,CSKI_MVKI,CSKI-1,0010,975,1
200233946180,CSKI_MVKI,CSKI-1,0010,560,1
200233946991,CSKI_MVKI,MVKI-1,0005,222,1
200233956458,CSKI_MVKI,CSKI-1,0010,668,1
200233956460,CSKI_MVKI,CSKI-1,0010,668,1
200233956462,CSKI_MVKI,CSKI-1,0010,377,1
200233958163,CSKI_MVKI,MVKI-1,0010,131,1
200233967198,CSKI_MVKI,MVKI-1,0010,200,1
200233967523,CSKI_MVKI,MVKI-1,0010,150,1
200233967525,CSKI_MVKI,MVKI-1,0010,170,1
200233967780,CSKI_MVKI,MVKI-1,0010,200,1
200233967902,CSKI_MVKI,MVKI-1,0010,137,1
200233967911,CSKI_MVKI,MVKI-1,0010,137,1
200233977330,CSKI_MVKI,CSKI-1,0010,869,1
200233977333,CSKI_MVKI,CSKI-1,0010,347,1
200233986204,CSKI_MVKI,CSKI-1,0010,212,1
200233987180,LVPA,LVPA-2 / LVPA-5,0005 → 0010,49,2
200233987191,CSKI_MVKI,MVKI-1,0010,88,1
200233987193,CSKI_MVKI,MVKI-1,0010,80,1
200233987223,CSKI_MVKI,CSKI-1,0010,131,1
200233987379,CSKI_MVKI,MVKI-1,0010,88,1
200233987383,CSKI_MVKI,MVKI-1,0010,92,1
200233996101,CSKI_MVKI,MVKI-1,0010,234,1
200234027495,CSKI_MVKI,CSKI-1,0010,622,1
200234029712,CSKI_MVKI,CSKI-1,0010,97,1
200234029759,CSKI_MVKI,CSKI-1,0010,190,1
200234036402,CSKI_MVKI,CSKI-1,0010,120,1
200234037772,CSKI_MVKI,CSKI-1,0010,1088,1
200234037773,CSKI_MVKI,CSKI-1,0010,1088,1
200234037997,CSKI_MVKI,CSKI-1,0010,1088,1
200234037998,CSKI_MVKI,CSKI-1,0010,1088,1
200234038000,CSKI_MVKI,CSKI-1,0010,1088,1
200234040202,CSKI_MVKI,MVKI-1,0010,205,1
200234040204,CSKI_MVKI,MVKI-1,0010,205,1
200234057161,CSKI_MVKI,MVKI-1,0010,578,1
200234057175,CSKI_MVKI,MVKI-1,0010,578,1
200234057272,CSKI_MVKI,MVKI-1,0010,125,1
200234057276,CSKI_MVKI,MVKI-1,0010,90,1
200234057398,CSKI_MVKI,MVKI-1,0010,76,1
200234057763,CSKI_MVKI,MVKI-1,0005,132,1
200234057961,LVPA,LVPA-5,0010,466,1
200234058344,LVPA,LVPA-5,0010,262,1
200234070154,CSKI_MVKI,MVKI-1,0010,132,1
200234070266,CSKI_MVKI,MVKI-1,0005,110,1
200234070268,CSKI_MVKI,MVKI-1,0005,110,1
200234084414,CSKI_MVKI,MVKI-1,0010,2073,1
200234084560,CSKI_MVKI,CSKI-1,0010,287,1
200234108391,CSKI_MVKI,MVKI-1,0005,93,1
200234147182,CSKI_MVKI,CSKI-1,0010,1688,1
200234148084,CSKI_MVKI,CSKI-1,0010,291,1
200234148088,CSKI_MVKI,CSKI-1,0010,117,1
200234148201,CSKI_MVKI,CSKI-1,0010,146,1
200234148472,CSKI_MVKI,CSKI-1,0010,146,1
200234148474,CSKI_MVKI,CSKI-1,0010,168,1
200234149230,CSKI_MVKI,CSKI-1,0010,190,1
200234156061,CSKI_MVKI,MVKI-1,0010,99,1
200234158412,CSKI_MVKI,MVKI-1,0010,402,1
200234158529,CSKI_MVKI,MVKI-1,0010,435,1
200234172130,CSKI_MVKI,MVKI-1,0005,102,1
200234173784,LVPA,LVPA-5,0010 → 0030,367,2
200234181973,CSKI_MVKI,MVKI-1,0005,119,1
200234193865,CSKI_MVKI,CSKI-1,0010,161,1
200234197069,CSKI_MVKI,MVKI-1,0005,132,1
200234200618,CSKI_MVKI,CSKI-1,0010,1088,1
200234200621,CSKI_MVKI,CSKI-1,0010,588,1
200234200622,CSKI_MVKI,CSKI-1,0010,1088,1
200234200623,CSKI_MVKI,CSKI-1,0010,588,1
200234200838,CSKI_MVKI,CSKI-1,0010,382,1
200234210577,CSKI_MVKI,CSKI-1,0010,301,1
200234210578,CSKI_MVKI,CSKI-1,0010,131,1
200234210579,CSKI_MVKI,CSKI-1,0010,442,1
200234210590,CSKI_MVKI,CSKI-1,0010,988,1
